taxi_id_a,taxi_id_b,first_met_at
20000423,20000451,2013-07-01 00:22:51
20000309,20000653,2013-07-01 00:54:55
20000171,20000671,2013-07-01 03:24:54
20000307,20000534,2013-07-01 03:28:36
20000398,20000540,2013-07-01 03:38:19
20000167,20000403,2013-07-01 04:41:20
20000128,20000154,2013-07-01 04:42:43
20000325,20000571,2013-07-01 05:06:54
20000247,20000514,2013-07-01 05:26:31
20000561,20000570,2013-07-01 05:32:01
20000337,20000539,2013-07-01 05:39:01
20000024,20000242,2013-07-01 06:13:19
20000128,20000400,2013-07-01 06:33:52
20000207,20000480,2013-07-01 06:36:40
20000049,20000294,2013-07-01 07:06:00
20000042,20000267,2013-07-01 07:24:36
20000178,20000496,2013-07-01 07:29:40
20000144,20000562,2013-07-01 07:41:38
20000409,20000562,2013-07-01 07:45:24
20000534,20000651,2013-07-01 07:46:04
20000386,20000541,2013-07-01 07:50:32
20000328,20000434,2013-07-01 07:53:28
20000051,20000409,2013-07-01 08:13:49
20000261,20000387,2013-07-01 08:14:40
20000261,20000307,2013-07-01 08:15:40
20000196,20000233,2013-07-01 08:17:14
20000431,20000440,2013-07-01 08:22:08
20000039,20000254,2013-07-01 08:26:48
20000142,20000233,2013-07-01 08:26:56
20000077,20000618,2013-07-01 08:32:53
20000487,20000557,2013-07-01 08:34:14
20000085,20000113,2013-07-01 08:35:29
20000524,20000618,2013-07-01 08:44:51
20000153,20000601,2013-07-01 08:46:53
20000109,20000676,2013-07-01 08:53:48
20000101,20000605,2013-07-01 08:57:23
20000031,20000152,2013-07-01 09:06:38
20000085,20000605,2013-07-01 09:07:03
20000345,20000463,2013-07-01 09:07:13
20000199,20000517,2013-07-01 09:08:08
20000177,20000576,2013-07-01 09:08:37
20000281,20000648,2013-07-01 09:09:20
20000254,20000541,2013-07-01 09:09:53
20000588,20000658,2013-07-01 09:11:06
20000470,20000499,2013-07-01 09:12:11
20000053,20000557,2013-07-01 09:12:46
20000367,20000675,2013-07-01 09:12:47
20000230,20000472,2013-07-01 09:13:39
20000177,20000289,2013-07-01 09:17:47
20000331,20000352,2013-07-01 09:23:04
20000328,20000460,2013-07-01 09:23:44
20000352,20000363,2013-07-01 09:23:49
20000074,20000099,2013-07-01 09:29:00
20000118,20000136,2013-07-01 09:31:44
20000517,20000540,2013-07-01 09:32:07
20000611,20000620,2013-07-01 09:37:16
20000380,20000410,2013-07-01 09:40:32
20000159,20000594,2013-07-01 09:43:32
20000540,20000672,2013-07-01 09:44:08
20000346,20000492,2013-07-01 09:46:06
20000338,20000508,2013-07-01 09:48:38
20000331,20000361,2013-07-01 09:48:59
20000410,20000621,2013-07-01 09:49:30
20000086,20000380,2013-07-01 09:52:40
20000576,20000682,2013-07-01 09:52:43
20000345,20000508,2013-07-01 09:53:51
20000349,20000460,2013-07-01 09:54:53
20000497,20000623,2013-07-01 10:01:22
20000345,20000443,2013-07-01 10:01:51
20000450,20000455,2013-07-01 10:07:52
20000476,20000682,2013-07-01 10:08:00
20000589,20000617,2013-07-01 10:08:41
20000038,20000359,2013-07-01 10:09:18
20000105,20000674,2013-07-01 10:12:02
20000195,20000346,2013-07-01 10:14:59
20000109,20000678,2013-07-01 10:15:21
20000542,20000678,2013-07-01 10:15:26
20000589,20000668,2013-07-01 10:15:41
20000486,20000664,2013-07-01 10:16:42
20000424,20000455,2013-07-01 10:19:19
20000109,20000397,2013-07-01 10:19:36
20000443,20000542,2013-07-01 10:21:23
20000100,20000633,2013-07-01 10:23:30
20000331,20000455,2013-07-01 10:25:19
20000113,20000692,2013-07-01 10:34:28
20000380,20000600,2013-07-01 10:36:15
20000009,20000671,2013-07-01 10:39:22
20000055,20000123,2013-07-01 10:49:52
20000258,20000467,2013-07-01 11:03:55
20000010,20000207,2013-07-01 11:17:08
20000045,20000608,2013-07-01 11:23:12
20000256,20000608,2013-07-01 11:23:57
20000142,20000663,2013-07-01 11:26:07
20000452,20000672,2013-07-01 11:28:34
20000455,20000663,2013-07-01 11:28:52
20000384,20000481,2013-07-01 11:30:12
20000146,20000295,2013-07-01 11:39:06
20000031,20000494,2013-07-01 11:44:05
